repository,language,pr,baseSha,headSha,mergedAt,url,title
FluentValidation/FluentValidation,dotnet,2129,923cbc3b67990eb48ea0c4f8e86d67e6c7478e4c,a19ae9c8f7a4017450ef38e2d1b72e71e39d3483,2023-07-30T16:44:54Z,https://github.com/FluentValidation/FluentValidation/pull/2129,fix capitalization in ValidationResult constructor summary
FluentValidation/FluentValidation,dotnet,2120,aa61b359983e74895c69a0bd592512dea726bc30,87aa5f3b8bc5a0e19c0c584ce0ab711e8f390441,2023-07-04T17:24:40Z,https://github.com/FluentValidation/FluentValidation/pull/2120,Add OnFailureCreated callback
FluentValidation/FluentValidation,dotnet,2283,792ce73236dda4de85dec81676248255a7e7fde7,a99b45d224493e101b84185228a8eb27080d4a6b,2024-12-24T13:53:24Z,https://github.com/FluentValidation/FluentValidation/pull/2283,Add Serbian cyrillic language
FluentValidation/FluentValidation,dotnet,2278,f534dca8bee4223dbc8f30e2a1870b59a390177c,f112b6a04f7d3e855faa4ad5f125778e8d4571a9,2024-11-16T19:42:47Z,https://github.com/FluentValidation/FluentValidation/pull/2278,Add WithState(...) overload with access to ValidationContext<T>
FluentValidation/FluentValidation,dotnet,2263,f322bb3d6d37e7cf9c8bccc1be0727ef75e30dce,549305b84bbc1c4b0f9f67089ac987c795e6094f,2024-10-06T09:10:58Z,https://github.com/FluentValidation/FluentValidation/pull/2263,leverage MSBuildThisFileDirectory to simplify path resolution
FluentValidation/FluentValidation,dotnet,2262,f322bb3d6d37e7cf9c8bccc1be0727ef75e30dce,c071787a2d01f7fa0c8090bf6d100cc20622dd14,2024-10-06T09:11:14Z,https://github.com/FluentValidation/FluentValidation/pull/2262,move to LangVersion 12
FluentValidation/FluentValidation,dotnet,2258,f322bb3d6d37e7cf9c8bccc1be0727ef75e30dce,62f918392faaf12fe3731697eac009f1cc3d89fe,2024-10-06T09:10:20Z,https://github.com/FluentValidation/FluentValidation/pull/2258,remove LegacyRulesetSplit
FluentValidation/FluentValidation,dotnet,2257,dfe5764a236fe71a73741fede3a7e167e4de8c4b,e576b948575b0cf48647f5fc63cb5095534bcbe0,2024-10-05T10:02:19Z,https://github.com/FluentValidation/FluentValidation/pull/2257,remove some usings
FluentValidation/FluentValidation,dotnet,2256,dfe5764a236fe71a73741fede3a7e167e4de8c4b,a909af73932bba2e8fac5522f7805d81002a2d7d,2024-10-05T10:03:17Z,https://github.com/FluentValidation/FluentValidation/pull/2256,remove some redundant private set
FluentValidation/FluentValidation,dotnet,2255,dfe5764a236fe71a73741fede3a7e167e4de8c4b,4594c1e40389523716a519dcef037bda3d838513,2024-10-05T10:03:49Z,https://github.com/FluentValidation/FluentValidation/pull/2255,move SignAssembly to props and remove redundant DelaySign
FluentValidation/FluentValidation,dotnet,2254,dfe5764a236fe71a73741fede3a7e167e4de8c4b,b92c7f4fe40b9d1542b771b9f9cced4ff4adc5ff,2024-10-05T10:04:37Z,https://github.com/FluentValidation/FluentValidation/pull/2254,remove some redundant casts
FluentValidation/FluentValidation,dotnet,2253,78a82311384a8f1a51be9abe641949b1ff944d81,c174cee47d97522f4bd241afb77fdb5f4805e987,2024-10-04T10:41:24Z,https://github.com/FluentValidation/FluentValidation/pull/2253,remove redundant proj props that default to the file name
FluentValidation/FluentValidation,dotnet,2252,36bdf7a52060fb14cfe5f8c5d9503c3b3a3270bb,443706c2f35b6bd92ed7531f60580d58bd3c19b8,2024-10-04T11:28:06Z,https://github.com/FluentValidation/FluentValidation/pull/2252,move DebugType>embedded to dir props
FluentValidation/FluentValidation,dotnet,2251,78a82311384a8f1a51be9abe641949b1ff944d81,d435ef419b6437df89271374c95f55e2ffb93288,2024-10-04T10:40:42Z,https://github.com/FluentValidation/FluentValidation/pull/2251,simplify doc file generation
FluentValidation/FluentValidation,dotnet,2249,8d3aa78bfe2fb87271e44043e197584d46881a41,7291526f866f2b67ffe7fb6d07ea1230a98314a3,2024-10-03T12:38:50Z,https://github.com/FluentValidation/FluentValidation/pull/2249,use default instead of new CancellationToken
FluentValidation/FluentValidation,dotnet,2250,78a82311384a8f1a51be9abe641949b1ff944d81,5461c597eb0486458707243cf72ed83bf187a63c,2024-10-04T10:39:52Z,https://github.com/FluentValidation/FluentValidation/pull/2250,add Directory.Build.props to sln items
FluentValidation/FluentValidation,dotnet,2248,8d3aa78bfe2fb87271e44043e197584d46881a41,107d6e53b891df715b3cfb432095b56ea4eb321a,2024-10-03T12:38:28Z,https://github.com/FluentValidation/FluentValidation/pull/2248,omit sourcelink
FluentValidation/FluentValidation,dotnet,2247,b4a67e7d20ae071c19cceeb5d49f3ee1e4ed0c36,8d43cc0b9f0e0c3cb631dc6773113d67980deab4,2024-10-03T11:42:28Z,https://github.com/FluentValidation/FluentValidation/pull/2247,allow pre-release sdk
FluentValidation/FluentValidation,dotnet,2244,7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7,3dc285005f02ea9179e6bf450dcebfec238c91cc,2024-09-14T12:56:10Z,https://github.com/FluentValidation/FluentValidation/pull/2244,Create IEnumValidator to expose the targeted Enum type of EnumValidator.
FluentValidation/FluentValidation,dotnet,2241,7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7,c57ec479a5c83c86fc1d45070fa4de7b5f497f0e,2024-09-14T12:56:39Z,https://github.com/FluentValidation/FluentValidation/pull/2241,Add WhereAsync as conterpart to Where on collection rules (#2240)
FluentValidation/FluentValidation,dotnet,2239,7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7,77dc92bb3d16e6be6c396052b5a97581c05d9bf3,2024-09-15T09:54:09Z,https://github.com/FluentValidation/FluentValidation/pull/2239,Create Romansh language
FluentValidation/FluentValidation,dotnet,2233,7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7,c63da108e2cb58fcc950a3a535a28b1d23f089cb,2024-09-14T13:11:38Z,https://github.com/FluentValidation/FluentValidation/pull/2233,Remove unnecessary word
FluentValidation/FluentValidation,dotnet,2232,1bba0b2c7bbb87da766fd078c5383525dac2d451,4083da750ac9103ffecf395042fb7141dd699f8c,2024-07-12T16:49:51Z,https://github.com/FluentValidation/FluentValidation/pull/2232,Fixed double semicolon typo
FluentValidation/FluentValidation,dotnet,2229,1bba0b2c7bbb87da766fd078c5383525dac2d451,93ae9e1cce13c1b08f06c54afecf3c16521fcf98,2024-07-16T10:51:46Z,https://github.com/FluentValidation/FluentValidation/pull/2229,"StringEnumValidator, cache enum names"
FluentValidation/FluentValidation,dotnet,2228,5bdac5bf74b1dcf36f4183a6a3441b03b2b6a3a3,eb0a7cf15d512b3909e626c8d08881737c029e4a,2024-06-30T20:18:34Z,https://github.com/FluentValidation/FluentValidation/pull/2228,Included Latvian (LV) localization resources.
FluentValidation/FluentValidation,dotnet,2225,241394a176490d334f00b9802d0b092b3b3dd387,d22e6a2c1b12d7e234ea3cecdb0e5a740c916d93,2024-06-12T14:19:05Z,https://github.com/FluentValidation/FluentValidation/pull/2225,Update rulesets.md
FluentValidation/FluentValidation,dotnet,2220,a0eaeae3721a647c8f253c559271a7708fb97cc2,562c8584fbe44b908bc19fb80cb75cd0ff748f64,2024-06-05T08:26:56Z,https://github.com/FluentValidation/FluentValidation/pull/2220,Fix typo in aspnet.md
FluentValidation/FluentValidation,dotnet,2217,5bcab9055d75d2f2d32e3a36d369dfc010f95fd2,5350de5b0d1632556094ac98fc669f9183c86acc,2024-06-01T10:02:44Z,https://github.com/FluentValidation/FluentValidation/pull/2217,TryGetPropertyValue unit tests
FluentValidation/FluentValidation,dotnet,2216,14cef8c70a4ce8584a1842405467b39d43dc5e2c,0b78603e9f7a3ae4fa822e11dc31b857bd474479,2024-05-25T11:18:07Z,https://github.com/FluentValidation/FluentValidation/pull/2216,Issues #2124 Make TryGetPropertyValue generic to avoid boxing
FluentValidation/FluentValidation,dotnet,2215,14cef8c70a4ce8584a1842405467b39d43dc5e2c,1300017087b4dc3fb4979ec15fa11d659b2782bf,2024-05-25T11:17:30Z,https://github.com/FluentValidation/FluentValidation/pull/2215,"Move the IValidationRule<T, TProperty>.SetDisplayName(string) method to the IValidationRule interface."
FluentValidation/FluentValidation,dotnet,2213,a0eaeae3721a647c8f253c559271a7708fb97cc2,64a8d07a0f8dcec114fa12332b88b97442c484d3,2024-06-10T12:19:07Z,https://github.com/FluentValidation/FluentValidation/pull/2213,Issue 2211. ScalePrecisionValidator error message clarification.
FluentValidation/FluentValidation,dotnet,2206,4df7f57d58cf1ecac5abbbff0c60cf0c81c75b11,c894ff09b638e55b0be45cdd3973810ac3cccfb2,2024-04-19T18:55:05Z,https://github.com/FluentValidation/FluentValidation/pull/2206,"replace english ""and"" with german ""und"""
FluentValidation/FluentValidation,dotnet,2200,24805a2b23d1b456361acabf1884bc8d7550a237,49e2ba89b8a431308a5e5a63d83f4e3bd0f8941d,2024-03-13T20:58:14Z,https://github.com/FluentValidation/FluentValidation/pull/2200,Improved AccessorCache<T>
